Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,21,SYR,NBA,,64,NA,NA,0.48,0.538,NA,NA,NA,NA,NA,8.8,4,12.8,NA
1950-51,22,SYR,NBA,,66,NA,NA,0.468,0.654,NA,NA,NA,NA,NA,6.5,3.8,10.3,NA
1951-52,23,SYR,NBA,PF,63,2004,23.7,0.468,0.573,NA,NA,NA,NA,NA,4.4,4,8.5,0.203
1952-53,24,SYR,NBA,PF,71,2668,25.4,0.495,0.618,NA,NA,NA,NA,NA,8,5.1,13.1,0.236
1953-54,25,SYR,NBA,C,72,2655,24.3,0.498,0.606,NA,NA,NA,NA,NA,8.4,6.3,14.8,0.267
1954-55,26,SYR,NBA,PF,72,2526,23,0.49,0.532,NA,NA,NA,NA,NA,6.4,5.7,12,0.229
1955-56,27,SYR,NBA,PF,72,2517,23.7,0.497,0.526,NA,NA,NA,NA,NA,6.9,4.9,11.8,0.225
1956-57,28,SYR,NBA,PF,72,2851,24.4,0.502,0.528,NA,NA,NA,NA,NA,8.8,3.7,12.5,0.211
1957-58,29,SYR,NBA,PF,72,2918,24.2,0.508,0.477,NA,NA,NA,NA,NA,9.7,4,13.7,0.226
1958-59,30,SYR,NBA,PF,72,2645,21,0.488,0.467,NA,NA,NA,NA,NA,5.8,3.6,9.4,0.171
1959-60,31,SYR,NBA,PF,75,2741,20.5,0.496,0.415,NA,NA,NA,NA,NA,6.2,3.3,9.5,0.167
1960-61,32,SYR,NBA,PF,79,3007,19.2,0.482,0.491,NA,NA,NA,NA,NA,5,3.5,8.5,0.136
1961-62,33,SYR,NBA,PF,56,1480,15.8,0.461,0.425,NA,NA,NA,NA,NA,0.9,2.1,3.1,0.099
1962-63,34,SYR,NBA,PF,66,1438,14.2,0.471,0.358,NA,NA,NA,NA,NA,0.7,1.7,2.4,0.081
1963-64,35,PHI,NBA,PF,24,350,11.5,0.399,0.399,NA,NA,NA,NA,NA,-0.4,0.3,-0.1,-0.01
Career,NA,,NBA,,996,29800,22,0.488,0.512,NA,NA,NA,NA,NA,86.2,56.1,142.4,0.192
