Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dolph Schayes,,14.8,13.7,13.1,12.8,12.5,12,11.8,10.3,9.5,9.4,8.5,8.5,3.1,2.4,-0.1
Adrian Dantley,93.1,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8,7.4,5.7,4.3,3.1,0.1
Rick Barry,87.4,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4,NA
Bob Pettit,86.3,14.9,14.9,14.8,14.3,13.8,11.6,11.5,11.5,11,10.7,7.1,NA,NA,NA,NA
Larry Bird,86.2,15.8,15.7,15.2,15,14,13.6,12.5,11.2,10.8,9.5,6.6,5.5,0.5,NA,NA
Kevin Garnett,84.5,18.3,16.1,15.6,14.9,12.9,12.8,11.8,11.6,10.7,9.6,7.3,7.3,7.1,5.4,4.4
Paul Pierce,84.4,12.9,12.4,11.6,11.5,11.2,10.4,10.3,10.1,8.3,8.2,7.2,7.1,7,5.4,4.9
Tim Duncan,84.3,17.8,16.5,13.2,13.1,13,13,12.8,11.2,11.1,10.9,10.8,10.1,8.7,7.7,5.9
Charles Barkley,83.7,17.3,16.7,16.1,14.4,13.4,12.3,12,10.8,10.6,10.5,9.4,8.8,8.6,7.5,6.8
Pau Gasol,83.1,14.7,13.9,12,11,10.4,8.5,8.4,8.3,8.1,7.6,7.1,6.9,6.8,3.7,3
Bailey Howell,82.9,14,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,5,3.1,NA,NA,NA
