,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1962-63,22,NYK,NBA,,9,,9,,,,,21
1963-64,23,NYK,NBA,,12,,7,7,,,,26
1964-65,24,TOT,NBA,,7,,8,10,,,,18
1964-65,24,NYK,NBA,,3,,0,0,,,,6
1964-65,24,SFW,NBA,,7,16,8,10,12,4,5,18
Career,,,,,12,,9,,,,,26
3 Seasons,,NYK,NBA,,12,,9,,,,,26
1 Season,,SFW,NBA,,7,16,8,10,12,4,5,18
