Season,Team,Lg,Salary
1985-86,New York Knicks,NBA,"$70,000"
1986-87,New York Knicks,NBA,"$250,000"
1987-88,New York Knicks,NBA,"$246,666"
1988-89,New York Knicks,NBA,"$625,000"
1990-91,New York Knicks,NBA,"$725,000"
1991-92,New York Knicks,NBA,"$795,000"
1992-93,Cleveland Cavaliers,NBA,"$500,000"
1993-94,Cleveland Cavaliers,NBA,"$2,278,000"
1994-95,Cleveland Cavaliers,NBA,"$2,478,000"
1995-96,Vancouver Grizzlies,NBA,"$2,478,000"
1996-97,Orlando Magic,NBA,"$247,500"
1997-98,Orlando Magic,NBA,"$326,700"
1998-99,Orlando Magic,NBA,"$2,000,000"
1999-00,Orlando Magic,NBA,"$3,000,000"
Career,(may be incomplete),,"$16,019,866"
