Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bob Elliott,,1.6,0.8,0.7,NA,NA,NA,NA,NA
Clifford Rozier,71.6,1.6,1.3,1.1,-0.1,NA,NA,NA,NA
Robert Sacre,71.0,1.4,0.8,0.3,-0.1,NA,NA,NA,NA
Chris Anstey,69.8,1.9,0.6,0.3,NA,NA,NA,NA,NA
Earl Williams,69.2,1.3,1,0.4,0,NA,NA,NA,NA
Josh Harrellson,67.2,1.4,0.7,0,NA,NA,NA,NA,NA
Pétur Guðmundsson,66.7,1.4,0.6,0.3,-0.1,NA,NA,NA,NA
Gene Tormohlen,66.2,1.4,0.8,0.1,0,0,0,NA,NA
Mark McNamara,65.1,1.2,0.7,0.6,0.4,0.1,0,0,-0.2
David Harrison,62.4,1.5,1.4,0.4,-0.2,NA,NA,NA,NA
Zendon Hamilton,60.1,1.8,1.1,0.1,0.1,0,0,NA,NA
