Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Cedric Simmons,,0.3,0,-0.2,NA
William Franklin,10.1,0.3,0.1,-0.2,NA
Lazar Hayward,9.2,0.3,0.1,-0.1,NA
Henry Ellenson,-15.2,0.4,0.1,-0.2,NA
Eddie Mast,-17.0,0.4,0.1,-0.2,NA
Scooter McCray,-26.8,0.3,0.1,0,NA
Pops Mensah-Bonsu,-27.2,0.3,0,0,0
Jordan Mickey,-34.5,0.3,0.1,0.1,NA
Justin Reed,-36.6,0.4,0.3,-0.2,NA
Devin Ebanks,-37.8,0.4,0.3,-0.1,NA
Bob Bigelow,-38.5,0.4,0,0,0
