Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Steve Jones,,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8
Eric Bledsoe,91.8,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2
Eric Snow,90.2,8.4,6.1,5.5,5.5,3.8,3.8,1.9,1.3,0.5
Steve Kerr,89.8,8.3,7.5,6.1,5.9,3.2,2.4,1.3,0.6,0.4
Gene Shue,89.7,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4
Phil Smith,89.4,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6
Jerry Stackhouse,89.2,9.2,7.3,6.5,5.8,4.7,2.1,1.9,1.2,0.2
Micheal Ray Richardson,89.1,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA
Eddie Johnson,87.8,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5
Kevin Porter,86.4,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5
Ben Gordon,86.1,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,-0.6
