,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,25,OAK,ABA,,11,,4,,,,10,12,,,,,,,,,30
1968-69,26,NOB,ABA,,13,,3,,,,12,16,,,,,,,,,34
1969-70,27,NOB,ABA,,16,,2,,,,12,14,,,,,,,,,37
1970-71,28,MMP,ABA,,19,,6,,,,10,11,,,,,,,,,51
1971-72,29,DLC,ABA,,16,,4,,,,17,19,,,,,,,,,34
1972-73,30,TOT,ABA,,14,,3,,,,16,18,,,,,,,,,40
1972-73,30,DLC,ABA,,12,,1,,,,16,18,,,,,,,,,40
1972-73,30,CAR,ABA,,14,,3,,,,9,10,,,,,,,,,30
1973-74,31,TOT,ABA,,12,,2,,,,6,8,,,,,,,,,26
1973-74,31,CAR,ABA,,9,,0,,,,6,8,,,,,,,,,20
1973-74,31,DNR,ABA,,12,,2,,,,6,8,,,,,,,,,26
1974-75,32,SSL,ABA,,10,,1,,,,11,13,,,,,,,,,28
1975-76,33,POR,NBA,,8,17,,,,,7,8,2,5,7,4,2,1,,5,23
Career,,,TOT,,19,,,,,,17,19,,,,,,,,,51
,,,NBA,,8,17,,,,,7,8,2,5,7,4,2,1,,5,23
,,,ABA,,19,,6,,,,17,19,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,"MMP,NOB",ABA,,19,,6,,,,12,16,,,,,,,,,51
3 Seasons,,"CAR,SSL",ABA,,14,,3,,,,11,13,,,,,,,,,30
2 Seasons,,DLC,ABA,,16,,4,,,,17,19,,,,,,,,,40
1 Season,,OAK,ABA,,11,,4,,,,10,12,,,,,,,,,30
1 Season,,POR,NBA,,8,17,,,,,7,8,2,5,7,4,2,1,,5,23
1 Season,,DNR,ABA,,12,,2,,,,6,8,,,,,,,,,26
