Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Steve Jones,,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA,NA
Eric Bledsoe,91.8,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA,NA
Phil Smith,89.4,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA,NA
Micheal Ray Richardson,89.1,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
Gene Shue,87.7,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,NA,NA
Don Chaney,87.2,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.6,0.4,0.3,-0.1,-0.5
Eddie Johnson,86.6,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA
Ben Gordon,86.2,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6,NA
Kevin Porter,86.0,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA,NA
Clem Haskins,85.9,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA,NA
Butch Beard,85.1,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA,NA
