Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Portman,,1.9,1.2,0.8,0.5
Henry Walker,96.9,1.9,1.1,0.9,0.5
Cliff Meely,89.0,1.8,1.2,1,0.4
Byron Houston,87.8,1.8,0.9,0.7,0.5
Don Kojis,87.8,1.9,1.5,0.7,0.7
Jud Buechler,87.6,1.8,1.2,0.5,0.4
Jermaine O'Neal,87.5,2.1,1.2,0.8,0.8
Togo Palazzi,86.3,2,1.6,0.8,0.6
Earl Cureton,85.9,2.1,1.2,1,0.8
Samaki Walker,85.5,2,1.4,0.6,0.5
Keith Lee,85.0,1.9,1.1,0.8,NA
