Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bob Portman,,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Byron Houston,87.8,1.8,0.9,0.7,0.5,NA,NA,NA,NA
Henry Walker,87.7,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
Tellis Frank,86.8,2,1.1,0.6,0.3,0.1,NA,NA,NA
Cliff Meely,86.0,1.8,1.2,1,0.4,0.2,NA,NA,NA
Keith Lee,85.0,1.9,1.1,0.8,NA,NA,NA,NA,NA
Tony Brown,84.7,1.8,1.3,0.9,0.5,0.2,0.2,0,NA
Ben Coleman,84.0,2,1.8,0.8,0.5,0,NA,NA,NA
Pete Verhoeven,83.3,2.1,1.2,0.8,0.7,0.4,0,NA,NA
Julian Wright,83.2,1.7,0.8,0.8,0.6,NA,NA,NA,NA
Solomon Jones,81.1,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
