Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Henry James,,2,0.6,0.3,0.3,0.2,0.1,0.1
Stanley Johnson,77.0,1.8,0.6,0.5,0.4,NA,NA,NA
Bernard Thompson,74.5,2.1,0.9,0.2,0.1,0,NA,NA
Linton Johnson,73.8,1.9,0.4,0.4,0,0,0,NA
D.J. White,73.8,1.8,0.8,0.6,0.4,0.2,0,NA
Gerard King,73.2,2.3,0.5,0.2,NA,NA,NA,NA
Tellis Frank,72.9,2,1.1,0.6,0.3,0.1,NA,NA
Billy Schaeffer,71.0,1.9,0.8,0.5,NA,NA,NA,NA
Jim Holstein,69.5,1.8,0.6,0.2,NA,NA,NA,NA
Ryan Kelly,69.2,2.2,0.7,0.1,0.1,NA,NA,NA
Joey Dorsey,69.0,1.9,0.8,0.1,0,NA,NA,NA
