Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Gene Vance,,5.3,2.2,1.6,1.3,0,NA,NA,NA,NA,NA,NA
Matt Maloney,89.4,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA,NA,NA
Michael Dickerson,83.3,5.5,2.2,1.8,0.1,-0.1,NA,NA,NA,NA,NA,NA
Ed Fleming,81.6,5,2,1.2,1,0.8,NA,NA,NA,NA,NA,NA
Johnny Neumann,78.5,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA,NA,NA
Jason Hart,76.3,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3,NA,NA
Troy Hudson,76.2,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0,-0.1,-0.2
Seth Curry,76.1,4.6,2.4,1.4,0,0,NA,NA,NA,NA,NA,NA
Brandon Knight,74.9,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA
Al Smith,73.2,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA,NA
Kevin Edwards,73.0,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2
