Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Gene Vance,,5.3,2.2,1.6,1.3,0
Keith Bogans,93.1,4.9,2.3,1.7,1.3,0.1
Matt Maloney,90.1,5.3,2.2,1.5,0.7,-0.3
Michael Dickerson,83.3,5.5,2.2,1.8,0.1,-0.1
Ed Fleming,81.6,5,2,1.2,1,0.8
Avery Johnson,80.5,5.2,1.6,1.3,0.5,0.3
Bobby Jackson,80.2,5.4,3.1,2.2,1.2,-0.6
Johnny Neumann,79.7,4.6,2,1.6,0.8,0.6
Evan Fournier,79.5,5.7,2.8,2.1,1.4,1
Raja Bell,79.1,3.7,2.2,1.7,1.1,-0.1
Lee Winfield,77.9,4.5,2.8,1.6,0.5,-0.1
