Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1970-71,23,BAL,NBA,SG,50,226,1.7,0.326,NA,0.243,NA,NA,5.3,4,NA,NA,NA,NA,-1,0.2,-0.8,-0.164
1971-72,24,TOT,TOT,SG,40,553,5.3,0.372,0.004,0.158,6.1,5.8,6.4,8.1,NA,21.6,19.8,NA,-1.5,0.4,-1.1,-0.096
1971-72,24,BAL,NBA,SG,28,471,7.2,0.385,NA,0.153,NA,NA,6.5,9,NA,NA,NA,NA,-1.1,0.4,-0.8,-0.079
1971-72,24,NYA,ABA,SG,12,82,-6,0.276,0.033,0.2,6.1,5.8,5.9,3,NA,21.6,19.8,NA,-0.4,0,-0.3,-0.195
Career,NA,,TOT,,90,779,4.2,0.357,0.003,0.184,6.1,5.8,6.1,6.9,NA,21.6,19.8,NA,-2.5,0.6,-1.9,-0.116
,NA,,NBA,,78,697,5.4,0.365,NA,0.183,NA,NA,6.1,7.4,NA,NA,NA,NA,-2.1,0.5,-1.5,-0.107
,NA,,ABA,,12,82,-6,0.276,0.033,0.2,6.1,5.8,5.9,3,NA,21.6,19.8,NA,-0.4,0,-0.3,-0.195
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BAL,NBA,,78,697,5.4,0.365,NA,0.183,NA,NA,6.1,7.4,NA,NA,NA,NA,-2.1,0.5,-1.5,-0.107
1 season,NA,NYA,ABA,,12,82,-6,0.276,0.033,0.2,6.1,5.8,5.9,3,NA,21.6,19.8,NA,-0.4,0,-0.3,-0.195
