Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23,BAL,NBA,SG,50,NA,226,34,115,0.296,NA,NA,NA,34,115,0.296,0.296,15,28,0.536,NA,NA,27,7,NA,NA,43,83
1971-72,24,TOT,TOT,SG,40,NA,553,90,259,0.347,0,1,0,90,258,0.349,0.347,26,41,0.634,5,NA,75,32,NA,9,78,206
1971-72,24,BAL,NBA,SG,28,NA,471,83,229,0.362,NA,NA,NA,83,229,0.362,0.362,22,35,0.629,NA,NA,65,30,NA,NA,62,188
1971-72,24,NYA,ABA,SG,12,NA,82,7,30,0.233,0,1,0,7,29,0.241,0.233,4,6,0.667,5,5,10,2,NA,9,16,18
Career,NA,,TOT,,90,NA,779,124,374,0.332,0,1,0,124,373,0.332,0.332,41,69,0.594,5,5,102,39,NA,9,121,289
,NA,,NBA,,78,NA,697,117,344,0.34,NA,NA,NA,117,344,0.34,0.34,37,63,0.587,NA,NA,92,37,NA,NA,105,271
,NA,,ABA,,12,NA,82,7,30,0.233,0,1,0,7,29,0.241,0.233,4,6,0.667,5,5,10,2,NA,9,16,18
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BAL,NBA,,78,NA,697,117,344,0.34,NA,NA,NA,117,344,0.34,0.34,37,63,0.587,NA,NA,92,37,NA,NA,105,271
1 season,NA,NYA,ABA,,12,NA,82,7,30,0.233,0,1,0,7,29,0.241,0.233,4,6,0.667,5,5,10,2,NA,9,16,18
