Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23,BAL,NBA,SG,50,NA,226,5.4,18.3,0.296,NA,NA,NA,5.4,18.3,0.296,2.4,4.5,0.536,NA,NA,4.3,1.1,NA,NA,6.8,13.2
1971-72,24,TOT,TOT,SG,40,NA,553,5.9,16.9,0.347,0,0.1,0,5.9,16.8,0.349,1.7,2.7,0.634,0.3,NA,4.9,2.1,NA,0.6,5.1,13.4
1971-72,24,BAL,NBA,SG,28,NA,471,6.3,17.5,0.362,NA,NA,NA,6.3,17.5,0.362,1.7,2.7,0.629,NA,NA,5,2.3,NA,NA,4.7,14.4
1971-72,24,NYA,ABA,SG,12,NA,82,3.1,13.2,0.233,0,0.4,0,3.1,12.7,0.241,1.8,2.6,0.667,2.2,2.2,4.4,0.9,NA,4,7,7.9
Career,NA,,TOT,,90,NA,779,5.7,17.3,0.332,0,0.4,0,5.7,17.2,0.332,1.9,3.2,0.594,2.2,2.2,4.7,1.8,NA,4,5.6,13.4
,NA,,NBA,,78,NA,697,6,17.8,0.34,NA,NA,NA,6,17.8,0.34,1.9,3.3,0.587,NA,NA,4.8,1.9,NA,NA,5.4,14
,NA,,ABA,,12,NA,82,3.1,13.2,0.233,0,0.4,0,3.1,12.7,0.241,1.8,2.6,0.667,2.2,2.2,4.4,0.9,NA,4,7,7.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BAL,NBA,,78,NA,697,6,17.8,0.34,NA,NA,NA,6,17.8,0.34,1.9,3.3,0.587,NA,NA,4.8,1.9,NA,NA,5.4,14
1 season,NA,NYA,ABA,,12,NA,82,3.1,13.2,0.233,0,0.4,0,3.1,12.7,0.241,1.8,2.6,0.667,2.2,2.2,4.4,0.9,NA,4,7,7.9
