Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23,BAL,NBA,SG,15,NA,67,12,35,0.343,NA,NA,NA,12,35,0.343,0.343,2,7,0.286,NA,NA,13,4,NA,NA,15,26
1971-72,24,NYA,ABA,SG,3,NA,9,1,1,1,0,0,NA,1,1,1,1,0,1,0,NA,NA,1,0,NA,3,7,2
Career,NA,,TOT,,18,NA,76,13,36,0.361,0,0,NA,13,36,0.361,0.361,2,8,0.25,NA,NA,14,4,NA,3,22,28
,NA,,NBA,,15,NA,67,12,35,0.343,NA,NA,NA,12,35,0.343,0.343,2,7,0.286,NA,NA,13,4,NA,NA,15,26
,NA,,ABA,,3,NA,9,1,1,1,0,0,NA,1,1,1,1,0,1,0,NA,NA,1,0,NA,3,7,2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BAL,NBA,,15,NA,67,12,35,0.343,NA,NA,NA,12,35,0.343,0.343,2,7,0.286,NA,NA,13,4,NA,NA,15,26
1 season,NA,NYA,ABA,,3,NA,9,1,1,1,0,0,NA,1,1,1,1,0,1,0,NA,NA,1,0,NA,3,7,2
