,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23,BAL,NBA,,6,,,,,,3,4,,,,,,,,12
1971-72,24,BAL,NBA,,8,,,,,,4,6,,,,,,,,17
1971-72,24,NYA,ABA,,3,,0,,,,2,4,,,,,,,,6
Career,,,TOT,,8,,,,,,4,6,,,,,,,,17
,,,NBA,,8,,,,,,4,6,,,,,,,,17
,,,ABA,,3,,0,,,,2,4,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,BAL,NBA,,8,,,,,,4,6,,,,,,,,17
1 Season,,NYA,ABA,,3,,0,,,,2,4,,,,,,,,6
