Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bernie Williams,,1.1,0.8,0.1,-0.1,-0.3
Nick Jones,76.8,1.3,0.7,0.2,0,-0.2
Salim Stoudamire,71.2,1.2,0.8,0.3,NA,NA
Phil Rollins,70.7,1.1,0.7,0.1,NA,NA
Mike D'Antoni,70.0,1,0.8,0.3,0,NA
Litterial Green,65.2,0.8,0.8,0.1,0,-0.1
Byron Irvin,64.8,1.2,0.9,0,NA,NA
Brooks Thompson,63.4,1.1,0.6,0.2,0.1,NA
Sean Kilpatrick,59.3,1.4,1,0.1,0.1,NA
Bryan Warrick,58.3,1,0.5,0.1,0,NA
Vonteego Cummings,56.8,1.3,0.6,0.2,NA,NA
