Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bernie Williams,,1.1,0.8,0.1,-0.1,-0.3
Nick Jones,76.8,1.3,0.7,0.2,0,-0.2
Salim Stoudamire,71.2,1.2,0.8,0.3,NA,NA
Phil Rollins,70.7,1.1,0.7,0.1,NA,NA
Mike D'Antoni,70.0,1,0.8,0.3,0,NA
Mike Evans,67.8,1.6,0.9,0.1,-0.1,-0.2
Litterial Green,65.2,0.8,0.8,0.1,0,-0.1
Mitchell Butler,65.1,1.1,0.6,0.3,0.1,-0.2
Byron Irvin,64.8,1.2,0.9,0,NA,NA
Brooks Thompson,63.4,1.1,0.6,0.2,0.1,NA
Jimmer Fredette,61.6,1.1,0.8,0.3,0.2,0
