,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,24,SDR,NBA,,15,,,,,,8,8,,,,,,,,,34
1970-71,25,SDR,NBA,,9,,,,,,7,7,,,7,8,,,,6,22
1971-72,26,VIR,ABA,,13,,3,,,,7,10,,,,,,,,,33
1972-73,27,VIR,ABA,,14,,2,,,,9,9,,,,,,,,,32
1973-74,28,VIR,ABA,,3,,1,,,,2,2,,,,,,,,,6
Career,,,TOT,,15,,,,,,9,10,,,,,,,,,34
,,,NBA,,15,,,,,,8,8,,,,,,,,,34
,,,ABA,,14,,3,,,,9,10,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,VIR,ABA,,14,,3,,,,9,10,,,,,,,,,33
2 Seasons,,SDR,NBA,,15,,,,,,8,8,,,,,,,,,34
