Season,Team,Lg,Salary
2015-16,Charlotte Hornets,NBA,"$2,612,500"
2016-17,Charlotte Hornets,NBA,"$2,730,000"
2017-18,Charlotte Hornets,NBA,"$2,847,600"
2018-19,Charlotte Hornets,NBA,"$3,627,842"
Career,(may be incomplete),,"$11,817,942"
