Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Frank Kaminsky,,3.6,3.3,2.3,1.8
Dwight Davis,96.4,3.7,3.3,2.3,1.5
Lawrence Funderburke,95.1,3.7,3.1,2.1,1.9
Derrek Dickey,94.7,3.8,3.1,2.3,1.7
Dante Cunningham,94.6,3.5,3.4,2,1.9
Reggie Evans,93.1,3.8,3,2.1,1.7
Eddie Griffin,92.8,3.9,3.2,2.4,1.5
Edgar Jones,92.5,3.4,3.4,2.4,2.3
Stacey King,92.4,3.6,3.1,1.9,1.5
Reggie Johnson,92.2,3.9,3,2.4,1.6
Ray Scott,92.2,3.5,3.4,2.5,1.3
