Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Frank Kaminsky,,3.6,3.3,2.3,1.8,NA,NA
Dwight Davis,92.2,3.7,3.3,2.3,1.5,0.6,NA
Reggie Johnson,92.2,3.9,3,2.4,1.6,NA,NA
Derrek Dickey,92.1,3.8,3.1,2.3,1.7,0.3,NA
Eddie Griffin,91.4,3.9,3.2,2.4,1.5,-0.2,NA
Bill Garnett,89.9,3.9,3.5,2,1.5,NA,NA
Richard Washington,89.0,3.9,3.2,2.1,2,0,-0.5
Don Collins,87.8,3.5,3.4,2.6,0.9,0,0
Billy Thompson,87.1,3.6,2.8,1.7,1.6,0,-0.1
Frank Card,85.7,4.2,2.6,2.4,1.9,0.1,NA
Bob Doll,85.7,4,2.8,1.8,1.6,NA,NA
