,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2015-16,22,CHO,NBA,C,81,1708,.410,12.6,.615,.331,.187,.040,.057,.385,.455,.523,.408,.238,.367,.337,.578,.034,15,.985,.129,.269,1,0
2016-17,23,CHO,NBA,C,75,1954,.399,15.1,.559,.214,.213,.074,.056,.441,.455,.587,.427,.305,.267,.328,.627,.015,12,1.000,.110,.359,4,0
2017-18,24,CHO,NBA,PF,79,1835,.429,14.2,.617,.170,.251,.130,.066,.383,.459,.672,.378,.430,.277,.380,.517,.022,15,.990,.077,.286,0,0
2018-19,25,CHO,NBA,C,47,755,.463,14.7,.534,.258,.208,.044,.023,.466,.553,.649,.565,.231,.000,.360,.716,.013,4,1.000,.079,.091,0,0
2019-20,26,PHO,NBA,C,32,718,.455,13.3,.599,.283,.208,.068,.039,.401,.527,.570,.569,.368,.273,.348,.682,.047,10,1.000,.063,.429,0,0
Career,,,NBA,,314,6970,.423,14.1,.587,.238,.217,.078,.053,.413,.474,.591,.438,.356,.279,.349,.604,.024,56,.995,.096,.298,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHO,NBA,,282,6252,.419,14.2,.586,.233,.218,.079,.055,.414,.468,.594,.423,.355,.279,.349,.593,.021,46,.994,.100,.289,5,0
1 season,,PHO,NBA,,32,718,.455,13.3,.599,.283,.208,.068,.039,.401,.527,.570,.569,.368,.273,.348,.682,.047,10,1.000,.063,.429,0,0
