Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Boštjan Nachbar,,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Greg Kelser,90.1,3.9,2.5,1.4,0.8,0.1,0,NA
Trey Lyles,89.4,3.9,2.3,1.2,0.8,NA,NA,NA
Tony Jaros,88.4,4.4,2.2,1.3,0.6,NA,NA,NA
Kyle Singler,87.1,4.4,2.3,2,1.1,0.3,0,NA
Mike Sweetney,87.1,3.8,2.1,1.4,0.4,NA,NA,NA
Kelly Oubre,86.2,3.7,2.2,2,0.4,NA,NA,NA
Rondae Hollis-Jefferson,84.7,4.1,2.6,1.2,1.2,NA,NA,NA
Harold Pressley,84.4,4.8,2.3,2.2,0.7,NA,NA,NA
Zeke Zawoluk,84.4,3.9,2.5,1.7,NA,NA,NA,NA
Ime Udoka,84.3,3.9,2.8,1.3,0.8,0,0,0
