Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Boštjan Nachbar,,4.1,2.2,1.7,0.8,0.1,-0.1
Bruce Bowen,91.1,4.2,2.2,1.9,1.2,0,0
Greg Kelser,90.1,3.9,2.5,1.4,0.8,0.1,0
Trey Lyles,89.4,3.9,2.3,1.2,0.8,NA,NA
Tony Jaros,88.4,4.4,2.2,1.3,0.6,NA,NA
Dorell Wright,87.7,4.3,2.2,1.9,0.2,-0.1,-0.1
Kyle Singler,87.1,4.4,2.3,2,1.1,0.3,0
Mike Sweetney,87.1,3.8,2.1,1.4,0.4,NA,NA
Brian Skinner,86.3,4.1,2.7,1.9,0.9,0.3,0.1
Kelly Oubre,86.2,3.7,2.2,2,0.4,NA,NA
Carl Herrera,86.1,4.6,2.1,2,0.5,0.1,-0.2
