Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,27,SHE,NBA,NA,3,NA,NA,5,17,0.294,7,10,0.7,NA,3,6,17
Career,NA,,NBA,NA,3,NA,NA,5,17,0.294,7,10,0.7,NA,3,6,17
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SHE,NBA,NA,3,NA,NA,5,17,0.294,7,10,0.7,NA,3,6,17
