Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,27,SHE,NBA,NA,3,NA,NA,0.397,0.588,NA,NA,NA,NA,NA,0,0,0,NA
Career,NA,,NBA,NA,3,NA,NA,0.397,0.588,NA,NA,NA,NA,NA,0,0,0,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SHE,NBA,NA,3,NA,NA,0.397,0.588,NA,NA,NA,NA,NA,0,0,0,NA
