Season,Team,Lg,Salary
1994-95,Phoenix Suns,NBA,"$650,000"
1995-96,Phoenix Suns,NBA,"$845,000"
1996-97,Phoenix Suns,NBA,"$1,040,000"
1997-98,Cleveland Cavaliers,NBA,"$3,500,000"
1998-99,Cleveland Cavaliers,NBA,"$4,200,000"
1999-00,Cleveland Cavaliers,NBA,"$4,900,000"
2000-01,Cleveland Cavaliers,NBA,"$5,600,000"
2001-02,Cleveland Cavaliers,NBA,"$6,300,000"
2002-03,Memphis Grizzlies,NBA,"$7,000,000"
2003-04,Portland Trail Blazers,NBA,"$7,700,000"
2004-05,Miami Heat,NBA,"$1,600,000"
2005-06,Miami Heat,NBA,"$1,760,000"
Career,(may be incomplete),,"$45,095,000"
