Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kentavious Caldwell-Pope,,5.3,5.3,4.5,4,2.8,1.8
Mario Chalmers,93.5,5.2,5.2,4.8,4.3,2.9,2.7
Ricky Sobers,93.5,5.3,4.8,4.3,3.8,2.8,2.4
Chris Duhon,93.2,5.2,4.8,4.2,4.1,2.3,1.9
Greg Anthony,93.1,5.5,4.8,4.6,3.5,2.9,2.2
Mario Elie,91.4,5.1,4.8,4.4,4.2,3.8,1.6
Odie Spears,91.1,5.6,5.2,4.7,3.8,3.3,3.1
Larry Steele,90.6,5.7,5.2,4.8,3.6,1.9,1.6
Tyreke Evans,90.3,5.4,4.6,4.4,3.1,2.7,1.6
Bill Keller,89.8,6.1,5.4,4.4,4,3.6,2.7
Al Attles,89.4,5.6,5.3,5.2,3.4,1.9,1.7
