Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Kentavious Caldwell-Pope,,5.3,5.3,4.5,4,2.8,1.8,NA,NA,NA,NA
Patrick Beverley,91.3,5.3,4.8,4.4,4.2,3.5,2.2,0.4,NA,NA,NA
Ron Williams,86.6,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA
Chris Duhon,85.8,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1,0.2,NA
Belus Smawley,85.6,5.6,5.3,5,4.5,3,-0.6,NA,NA,NA,NA
Jeremy Lamb,85.3,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA,NA
Odie Spears,85.2,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA
Patty Mills,84.6,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0
Vincent Askew,84.5,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA
Dick Garmaker,83.6,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA,NA
Paul Neumann,83.5,6.5,5.8,4.6,4.2,4,3.2,NA,NA,NA,NA
