Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Stanley Roberts,,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1
Željko Rebrača,88.0,3.3,2.4,1.3,0.7,0.5,NA,NA,NA
Tarik Black,84.9,3.1,2.4,1.5,0.7,NA,NA,NA,NA
Alexis Ajinça,83.9,3.2,2.1,1,1,0.4,0,-0.1,NA
Willy Hernangómez,77.6,3.4,2.6,1.8,NA,NA,NA,NA,NA
Jim McIlvaine,77.1,3,1.9,1.8,1.5,0.8,0.3,0.1,NA
Gene Wiley,77.1,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA
Reggie Harding,77.0,3.1,2.6,1.6,0,NA,NA,NA,NA
Hub Reed,75.6,2.8,2,1.7,1.3,1,0.6,0,NA
Ekpe Udoh,75.5,3.2,2.7,2.1,1.6,0.7,0.3,0,NA
Cole Aldrich,75.3,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0
