Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CHI,NBA,SF,4,NA,31,9,21,0.429,1,1,1,NA,NA,11,3,NA,NA,NA,3,19
1972-73,24,CHI,NBA,PF,6,NA,79,12,34,0.353,3,4,0.75,NA,NA,18,2,NA,NA,NA,5,27
1973-74,25,CHI,NBA,SF,11,NA,150,27,88,0.307,6,6,1,15,29,44,5,4,5,NA,15,60
1974-75,26,DET,NBA,SF,3,NA,92,23,42,0.548,6,7,0.857,8,12,20,0,5,1,NA,5,52
1975-76,27,DET,NBA,SF,9,NA,213,51,97,0.526,15,17,0.882,22,20,42,6,7,5,NA,24,117
1976-77,28,DET,NBA,PF,3,NA,98,29,47,0.617,2,4,0.5,6,11,17,2,2,4,NA,7,60
Career,NA,,NBA,,36,NA,663,151,329,0.459,33,39,0.846,51,72,152,18,18,15,NA,59,335
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,21,NA,260,48,143,0.336,10,11,0.909,15,29,73,10,4,5,NA,23,106
3 seasons,NA,DET,NBA,,15,NA,403,103,186,0.554,23,28,0.821,36,43,79,8,14,10,NA,36,229
