Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CHI,NBA,SF,4,NA,31,10.5,24.4,0.429,1.2,1.2,1,NA,NA,12.8,3.5,NA,NA,NA,3.5,22.1
1972-73,24,CHI,NBA,PF,6,NA,79,5.5,15.5,0.353,1.4,1.8,0.75,NA,NA,8.2,0.9,NA,NA,NA,2.3,12.3
1973-74,25,CHI,NBA,SF,11,NA,150,6.5,21.1,0.307,1.4,1.4,1,3.6,7,10.6,1.2,1,1.2,NA,3.6,14.4
1974-75,26,DET,NBA,SF,3,NA,92,9,16.4,0.548,2.3,2.7,0.857,3.1,4.7,7.8,0,2,0.4,NA,2,20.3
1975-76,27,DET,NBA,SF,9,NA,213,8.6,16.4,0.526,2.5,2.9,0.882,3.7,3.4,7.1,1,1.2,0.8,NA,4.1,19.8
1976-77,28,DET,NBA,PF,3,NA,98,10.7,17.3,0.617,0.7,1.5,0.5,2.2,4,6.2,0.7,0.7,1.5,NA,2.6,22
Career,NA,,NBA,,36,NA,663,8.2,17.9,0.459,1.8,2.1,0.846,3.3,4.7,8.3,1,1.2,1,NA,3.2,18.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,21,NA,260,6.6,19.8,0.336,1.4,1.5,0.909,3.6,7,10.1,1.4,1,1.2,NA,3.2,14.7
3 seasons,NA,DET,NBA,,15,NA,403,9.2,16.6,0.554,2.1,2.5,0.821,3.2,3.8,7.1,0.7,1.3,0.9,NA,3.2,20.5
