Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1971-72,23,CHI,NBA,SF,4,31,19.3,0.443,0.048,NA,NA,16.9,16.6,NA,NA,NA,NA,NA,0,0,0,0.007,NA,NA,NA,NA,NA
1972-73,24,CHI,NBA,PF,6,79,8.8,0.378,0.118,NA,NA,10.2,3.7,NA,NA,NA,NA,NA,-0.2,0.1,-0.1,-0.031,NA,NA,NA,NA,NA
1973-74,25,CHI,NBA,SF,11,150,10.2,0.331,0.068,9.5,23.1,15.5,5.5,1.3,1.9,NA,NA,NA,-0.4,0.1,-0.4,-0.112,NA,-4.8,-2.2,-7,-0.2
1974-75,26,DET,NBA,SF,3,92,19.3,0.577,0.167,10,13,11.6,0,2.6,0.5,NA,NA,NA,0.3,0.1,0.4,0.184,NA,2.5,-1,1.4,0.1
1975-76,27,DET,NBA,SF,9,213,17.8,0.56,0.175,11.3,10.2,10.7,4.1,1.5,1.2,NA,NA,NA,0.6,0,0.5,0.12,NA,1.4,-0.9,0.5,0.1
1976-77,28,DET,NBA,PF,3,98,19.8,0.615,0.085,6.1,9.7,8,3.5,1,1.9,NA,NA,NA,0.3,0,0.3,0.144,NA,3.5,0.1,3.7,0.1
Career,NA,,NBA,,36,663,15.6,0.484,0.119,9.7,14.1,11.8,4.3,1.5,1.4,NA,NA,NA,0.6,0.2,0.8,0.057,NA,0.3,-1.1,-0.8,0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,21,260,10.9,0.358,0.077,9.5,23.1,14.1,6.3,1.3,1.9,NA,NA,NA,-0.6,0.2,-0.4,-0.073,NA,-4.8,-2.2,-7,-0.2
3 seasons,NA,DET,NBA,,15,403,18.6,0.577,0.151,9.7,10.7,10.3,3,1.6,1.2,NA,NA,NA,1.2,0,1.2,0.141,NA,2.2,-0.7,1.5,0.4
