,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1971-72,23,CHI,NBA,,9,,5,6,,,,,,,,,21,
1972-73,24,CHI,NBA,,8,14,3,5,,,8,3,,,,6,18,
1973-74,25,CHI,NBA,,11,,9,11,,,,,,,,,25,
1974-75,26,TOT,NBA,,10,,10,15,,,,,,,,,22,
1974-75,26,NYK,NBA,,3,,2,2,,,,,,,,,7,
1974-75,26,DET,NBA,,10,,10,15,,,,,,,,,22,
1975-76,27,DET,NBA,,14,,5,6,,,,,,,,,28,
1976-77,28,DET,NBA,,12,,7,7,,,,,,,,,27,
1977-78,29,TOT,NBA,,13,,12,15,,,,,,,,,29,
1977-78,29,DET,NBA,,4,,2,4,,,,,,,,,10,
1977-78,29,NJN,NBA,,13,,12,15,,,,,,,,,29,
Career,,,,,14,,12,15,,,,,,,,,29,
4 Seasons,,DET,NBA,,14,,10,15,,,,,,,,,28,
3 Seasons,,CHI,NBA,,11,,9,11,,,,,,,,,25,
1 Season,,NJN,NBA,,13,,12,15,,,,,,,,,29,
1 Season,,NYK,NBA,,3,,2,2,,,,,,,,,7,
