Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Howard Porter,,4.1,3.9,2.7,2.4,2.4,1.1,1
Andrea Bargnani,90.0,4.2,3.9,2.5,2.2,1.9,1.4,0.1
Tom McMillen,88.5,3.9,3.7,2.9,2.9,2.5,2.2,0.8
Pat Cummings,87.8,4.2,4,3.3,2.7,2.5,1.8,1.5
Jeff Cook,86.8,4.5,3.7,2.4,2.3,2.2,2,0.6
Nick Weatherspoon,86.7,3.7,3.6,2.6,2.4,2.1,0.6,0.1
John Brown,86.5,4.2,3.7,2.6,2.3,1.7,1.7,0.1
J.R. Reid,85.9,3.5,3.4,3,2.5,2.1,1.8,1.1
Willie Norwood,85.7,3.8,3.5,3.3,3,2.6,1.1,0.5
Danny Vranes,85.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6
Omri Casspi,85.6,3.6,2.7,2.5,2.5,2.4,1.2,0.7
