,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1971-72,23,CHI,NBA,,4,7,1,1,,,5,2,,,,3,8,
1972-73,24,CHI,NBA,,6,10,2,2,,,8,1,,,,4,14,
1973-74,25,CHI,NBA,,6,17,2,2,,,9,2,,,,3,12,
1974-75,26,TOT,NBA,,10,,4,4,,,,,,,,,21,
1974-75,26,DET,NBA,,10,,4,4,,,,,,,,,21,
1975-76,27,DET,NBA,,13,20,6,6,,,9,2,,,,5,27,
1976-77,28,DET,NBA,,15,27,2,4,,,11,1,,,,3,30,
Career,,,,,15,,6,6,,,,,,,,,30,
3 Seasons,,CHI,NBA,,6,17,2,2,,,9,2,,,,4,14,
3 Seasons,,DET,NBA,,15,,6,6,,,,,,,,,30,
