Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CHI,NBA,SF,67,NA,730,8.4,19.9,0.424,2.9,3.8,0.766,NA,NA,9,1.2,NA,NA,NA,4.3,19.8
1972-73,24,CHI,NBA,PF,43,NA,407,8.7,19.2,0.452,1.9,2.6,0.759,NA,NA,10.4,1.4,NA,NA,NA,4.6,19.3
1973-74,25,CHI,NBA,SF,73,NA,1229,8.7,19.3,0.45,2.7,3.4,0.8,2.5,5.8,8.3,0.9,0.7,1.1,NA,3.4,20
1974-75,26,TOT,NBA,SF,58,NA,1163,6.2,12.8,0.488,2,2.4,0.835,2.4,5.4,7.9,0.6,0.7,0.8,NA,2.9,14.5
1974-75,26,NYK,NBA,SF,17,NA,133,3.5,9.7,0.361,1.9,2.4,0.778,3.5,6.8,10.3,0.5,0.8,0.3,NA,4.6,8.9
1974-75,26,DET,NBA,SF,41,NA,1030,6.6,13.1,0.5,2.1,2.4,0.843,2.3,5.2,7.5,0.6,0.7,0.9,NA,2.7,15.2
1975-76,27,DET,NBA,SF,75,NA,1482,7.2,15.4,0.469,1.8,2.4,0.753,2,5.2,7.2,0.6,0.8,0.9,NA,3.2,16.3
1976-77,28,DET,NBA,PF,78,NA,2200,7.6,15.7,0.483,1.7,2,0.858,2.5,5,7.5,0.9,0.8,1.2,NA,3.3,16.9
1977-78,29,TOT,NBA,SF,63,NA,1323,8.4,17.3,0.487,3.4,4.2,0.8,2.7,4.9,7.6,1.1,0.8,1,1.5,3.6,20.2
1977-78,29,DET,NBA,SF,8,NA,107,5.4,14.5,0.372,1.3,2.4,0.571,1.7,4,5.7,0.7,1,1.7,1.7,5,12.1
1977-78,29,NJN,NBA,SF,55,NA,1216,8.7,17.5,0.495,3.6,4.4,0.811,2.8,4.9,7.8,1.2,0.8,1,1.5,3.5,20.9
Career,NA,,NBA,,457,NA,8534,7.8,16.5,0.469,2.3,2.8,0.802,2.4,5.2,7.9,0.9,0.8,1,1.5,3.5,17.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,202,NA,4819,7.2,15.1,0.48,1.8,2.2,0.813,2.3,5.1,7.4,0.7,0.8,1,1.7,3.2,16.2
3 seasons,NA,CHI,NBA,,183,NA,2366,8.6,19.4,0.442,2.6,3.4,0.783,2.5,5.8,8.9,1.1,0.7,1.1,NA,3.9,19.8
1 season,NA,NJN,NBA,,55,NA,1216,8.7,17.5,0.495,3.6,4.4,0.811,2.8,4.9,7.8,1.2,0.8,1,1.5,3.5,20.9
1 season,NA,NYK,NBA,,17,NA,133,3.5,9.7,0.361,1.9,2.4,0.778,3.5,6.8,10.3,0.5,0.8,0.3,NA,4.6,8.9
