Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CHI,NBA,SF,4,NA,7.8,2.3,5.3,0.429,0.3,0.3,1,NA,NA,2.8,0.8,NA,NA,NA,0.8,4.8
1972-73,24,CHI,NBA,PF,6,NA,13.2,2,5.7,0.353,0.5,0.7,0.75,NA,NA,3,0.3,NA,NA,NA,0.8,4.5
1973-74,25,CHI,NBA,SF,11,NA,13.6,2.5,8,0.307,0.5,0.5,1,1.4,2.6,4,0.5,0.4,0.5,NA,1.4,5.5
1974-75,26,DET,NBA,SF,3,NA,30.7,7.7,14,0.548,2,2.3,0.857,2.7,4,6.7,0,1.7,0.3,NA,1.7,17.3
1975-76,27,DET,NBA,SF,9,NA,23.7,5.7,10.8,0.526,1.7,1.9,0.882,2.4,2.2,4.7,0.7,0.8,0.6,NA,2.7,13
1976-77,28,DET,NBA,PF,3,NA,32.7,9.7,15.7,0.617,0.7,1.3,0.5,2,3.7,5.7,0.7,0.7,1.3,NA,2.3,20
Career,NA,,NBA,,36,NA,18.4,4.2,9.1,0.459,0.9,1.1,0.846,2,2.8,4.2,0.5,0.7,0.6,NA,1.6,9.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,21,NA,12.4,2.3,6.8,0.336,0.5,0.5,0.909,1.4,2.6,3.5,0.5,0.4,0.5,NA,1.1,5
3 seasons,NA,DET,NBA,,15,NA,26.9,6.9,12.4,0.554,1.5,1.9,0.821,2.4,2.9,5.3,0.5,0.9,0.7,NA,2.4,15.3
