Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Howard Porter,,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA
Nick Weatherspoon,86.7,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA,NA,NA
Andrea Bargnani,86.6,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1
John Brown,86.5,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA
Jeff Cook,86.3,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA
Willie Norwood,85.7,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA,NA
Danny Vranes,85.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA
David Benoit,85.3,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA
Edgar Jones,85.1,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA,NA,NA
Derek Strong,85.0,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0
Kenny Walker,84.8,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
