Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,25,CHI,NBA,SF,73,NA,1229,11,24.5,0.45,3.4,4.3,0.8,3.2,7.4,10.6,1.2,0.9,1.5,NA,4.3,25.4,NA,NA,94
1974-75,26,TOT,NBA,SF,58,NA,1163,8.2,16.9,0.488,2.7,3.2,0.835,3.2,7.2,10.4,0.8,0.9,1.1,NA,3.8,19.2,NA,NA,100
1974-75,26,NYK,NBA,SF,17,NA,133,4.5,12.6,0.361,2.4,3.1,0.778,4.5,8.7,13.3,0.7,1,0.3,NA,5.9,11.5,NA,NA,98
1974-75,26,DET,NBA,SF,41,NA,1030,8.7,17.4,0.5,2.7,3.2,0.843,3.1,7,10,0.8,0.9,1.2,NA,3.5,20.2,NA,NA,101
1975-76,27,DET,NBA,SF,75,NA,1482,9.2,19.5,0.469,2.2,3,0.753,2.5,6.6,9.1,0.8,1,1.1,NA,4.1,20.6,NA,NA,101
1976-77,28,DET,NBA,PF,78,NA,2200,9.3,19.3,0.483,2.1,2.4,0.858,3.1,6.1,9.2,1.1,1,1.5,NA,4.1,20.7,NA,NA,103
1977-78,29,TOT,NBA,SF,63,NA,1323,10.1,20.8,0.487,4.1,5.1,0.8,3.3,5.9,9.1,1.4,1,1.2,1.8,4.4,24.3,NA,109,102
1977-78,29,DET,NBA,SF,8,NA,107,6.7,17.9,0.372,1.7,2.9,0.571,2.1,5,7.1,0.8,1.2,2.1,2.1,6.2,15,NA,84,102
1977-78,29,NJN,NBA,SF,55,NA,1216,10.4,21.1,0.495,4.3,5.3,0.811,3.4,5.9,9.3,1.4,0.9,1.2,1.8,4.2,25.1,NA,111,102
Career,NA,,NBA,,347,NA,7397,9.6,20.1,0.475,2.8,3.4,0.809,3.1,6.5,9.6,1,1,1.3,0.3,4.1,21.9,NA,109,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,202,NA,4819,9.1,19,0.48,2.2,2.8,0.813,2.9,6.4,9.3,0.9,1,1.3,0,4,20.4,NA,84,102
1 season,NA,CHI,NBA,,73,NA,1229,11,24.5,0.45,3.4,4.3,0.8,3.2,7.4,10.6,1.2,0.9,1.5,NA,4.3,25.4,NA,NA,94
1 season,NA,NJN,NBA,,55,NA,1216,10.4,21.1,0.495,4.3,5.3,0.811,3.4,5.9,9.3,1.4,0.9,1.2,1.8,4.2,25.1,NA,111,102
1 season,NA,NYK,NBA,,17,NA,133,4.5,12.6,0.361,2.4,3.1,0.778,4.5,8.7,13.3,0.7,1,0.3,NA,5.9,11.5,NA,NA,98
