Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CHI,NBA,SF,67,NA,730,171,403,0.424,59,77,0.766,NA,NA,183,24,NA,NA,NA,88,401
1972-73,24,CHI,NBA,PF,43,NA,407,98,217,0.452,22,29,0.759,NA,NA,118,16,NA,NA,NA,52,218
1973-74,25,CHI,NBA,SF,73,NA,1229,296,658,0.45,92,115,0.8,86,199,285,32,23,39,NA,116,684
1974-75,26,TOT,NBA,SF,58,NA,1163,201,412,0.488,66,79,0.835,79,175,254,19,23,26,NA,93,468
1974-75,26,NYK,NBA,SF,17,NA,133,13,36,0.361,7,9,0.778,13,25,38,2,3,1,NA,17,33
1974-75,26,DET,NBA,SF,41,NA,1030,188,376,0.5,59,70,0.843,66,150,216,17,20,25,NA,76,435
1975-76,27,DET,NBA,SF,75,NA,1482,298,635,0.469,73,97,0.753,81,214,295,25,31,36,NA,133,669
1976-77,28,DET,NBA,PF,78,NA,2200,465,962,0.483,103,120,0.858,155,303,458,53,50,73,NA,202,1033
1977-78,29,TOT,NBA,SF,63,NA,1323,309,635,0.487,124,155,0.8,100,179,279,42,29,38,55,134,742
1977-78,29,DET,NBA,SF,8,NA,107,16,43,0.372,4,7,0.571,5,12,17,2,3,5,5,15,36
1977-78,29,NJN,NBA,SF,55,NA,1216,293,592,0.495,120,148,0.811,95,167,262,40,26,33,50,119,706
Career,NA,,NBA,,457,NA,8534,1838,3922,0.469,539,672,0.802,501,1070,1872,211,156,212,55,818,4215
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,202,NA,4819,967,2016,0.48,239,294,0.813,307,679,986,97,104,139,5,426,2173
3 seasons,NA,CHI,NBA,,183,NA,2366,565,1278,0.442,173,221,0.783,86,199,586,72,23,39,NA,256,1303
1 season,NA,NJN,NBA,,55,NA,1216,293,592,0.495,120,148,0.811,95,167,262,40,26,33,50,119,706
1 season,NA,NYK,NBA,,17,NA,133,13,36,0.361,7,9,0.778,13,25,38,2,3,1,NA,17,33
