Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lonny Baxter,,1.5,0.9,0.7,-0.2,NA
Art Spector,92.1,1.4,1,0.6,-0.2,NA
Joe Kopicki,80.1,1.9,0.9,0.7,NA,NA
Chris Johnson,77.5,1.4,1.1,0.8,0.2,NA
Calvin Garrett,77.4,1.4,0.6,0.6,0,NA
Keith Lee,76.8,1.9,1.1,0.8,NA,NA
Byron Houston,71.2,1.8,0.9,0.7,0.5,NA
Hank Whitney,70.2,1.8,1.1,0.5,NA,NA
Bo Ellis,70.1,1.1,0.9,0.5,NA,NA
Yi Jianlian,70.1,1.3,0.7,0.7,0.4,0
Jan Veselý,69.8,1.7,1.6,0.7,NA,NA
