Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Dave Corzine,,5.2,5.1,4.9,4.7,4.2,4,2.9,2.9,1.4,1.1,0.9,0.4,-0.2
LaSalle Thompson,88.8,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2,0.9,0.1,0
Alton Lister,87.6,5.5,5.3,4.1,4.1,4,3.8,3.7,1.9,1.7,1,0.4,0.1,-0.2
Ervin Johnson,86.6,6.4,5.2,5.1,4.9,3.9,3,2.3,2.3,1.9,1.3,0.8,0.7,0
Chris Andersen,86.2,6,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.1,0.3,0
Zaza Pachulia,85.9,6,5,4.8,4.2,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3
Channing Frye,85.6,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,1.5,0.9,0.8,0.1
Greg Ostertag,85.0,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,NA,NA
Rasho Nesterović,84.1,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3,2.2,1.5,0.8,0,NA
Benoit Benjamin,81.6,5.4,5.1,4.1,4,3,2.3,2.2,2.2,2,1.1,0.9,0.4,0
Mark Eaton,81.5,6.6,5.5,5.4,5.3,4.1,4,3.8,3.7,3.6,1.9,0.8,NA,NA
