Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Howie Dallmar,,7,5.9,2.2,NA,NA,NA,NA
Toby Knight,86.7,7.3,5.7,1.6,1.1,NA,NA,NA
Willie Murrell,85.9,7,4.6,3.1,NA,NA,NA,NA
Bones McKinney,83.8,7.1,4.9,3.3,0.2,0,-0.2,NA
Stan McKenzie,82.0,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Bud Palmer,80.7,7.4,7.2,3.9,NA,NA,NA,NA
Domantas Sabonis,79.0,7.6,4.7,0.8,NA,NA,NA,NA
Julius Randle,78.9,6.6,6.1,3.5,1.6,-0.1,NA,NA
Bob Lavoy,78.1,5.8,5.8,3.4,1,NA,NA,NA
Jerami Grant,77.1,7.3,5.4,2.9,2.1,0.5,NA,NA
Art Heyman,76.7,8.5,6.1,2.7,1.3,0.6,0,NA
