Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,28,TOT,BAA,NA,61,NA,NA,4.5,13.7,0.326,2.3,3,0.762,NA,1.8,2.7,11.2
1948-49,28,INJ,BAA,NA,8,NA,NA,3.9,14.4,0.27,2.1,3,0.708,NA,2.4,3.1,9.9
1948-49,28,BLB,BAA,NA,53,NA,NA,4.5,13.6,0.335,2.3,3,0.771,NA,1.7,2.7,11.4
1949-50,29,TOT,NBA,NA,34,NA,NA,1.4,5.4,0.25,0.7,0.9,0.781,NA,0.7,1.2,3.4
1949-50,29,BLB,NBA,NA,18,NA,NA,1.4,6.1,0.227,0.7,1.1,0.684,NA,1,1.3,3.5
1949-50,29,PHW,NBA,NA,16,NA,NA,1.3,4.6,0.284,0.8,0.8,0.923,NA,0.4,1.1,3.4
Career,NA,,TOT,NA,95,NA,NA,3.3,10.7,0.312,1.7,2.2,0.765,NA,1.4,2.2,8.4
,NA,,BAA,NA,61,NA,NA,4.5,13.7,0.326,2.3,3,0.762,NA,1.8,2.7,11.2
,NA,,NBA,NA,34,NA,NA,1.4,5.4,0.25,0.7,0.9,0.781,NA,0.7,1.2,3.4
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BLB,BAA,NA,71,NA,NA,3.7,11.7,0.321,1.9,2.5,0.761,NA,1.5,2.3,9.4
1 season,NA,PHW,NBA,NA,16,NA,NA,1.3,4.6,0.284,0.8,0.8,0.923,NA,0.4,1.1,3.4
1 season,NA,INJ,BAA,NA,8,NA,NA,3.9,14.4,0.27,2.1,3,0.708,NA,2.4,3.1,9.9
