Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1965-66,25,DET,NBA,SF,1,0,22:00,1,14,0.071,2,2,1,NA,6,1,NA,NA,1,4
1966-67,26,DET,NBA,SF,1,0,25:00,11,17,0.647,0,0,NA,NA,6,0,NA,NA,1,22
1967-68,27,DET,NBA,SF,1,0,12:00,0,3,0,0,0,NA,NA,4,0,NA,NA,1,0
1969-70,29,NYK,NBA,PF,1,0,14:00,5,10,0.5,0,0,NA,NA,7,2,NA,NA,1,10
1970-71,30,NYK,NBA,PF,1,0,19:00,4,7,0.571,0,0,NA,NA,7,3,NA,NA,3,8
1971-72,31,NYK,NBA,PF,1,0,26:00,4,8,0.5,0,0,NA,NA,11,0,NA,NA,2,8
1972-73,32,NYK,NBA,PF,1,1,25:00,4,8,0.5,1,2,0.5,NA,7,2,NA,NA,1,9
1973-74,33,NYK,NBA,PF,1,0,24:00,8,14,0.571,0,0,NA,2,3,3,1,0,2,16
Career,NA,,NBA,,8,1,167,37,81,0.457,3,4,0.75,2,51,11,1,0,12,77
