Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dave DeBusschere,,7,6.6,6.6,6.6,6.2,5.9,5.2,4.8,4.7,3.7,3.6,0
Thaddeus Young,90.8,7.4,6.9,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1
Derrick McKey,90.4,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,2.1,1.8,0.4
Antonio Davis,89.7,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2
Maurice Lucas,88.7,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4,3.5,2.5,2.4
Armen Gilliam,88.5,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3
Eddie Johnson,88.3,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4,3.9,3,1.8
Michael Cage,87.0,8.1,7.6,7.2,6.8,6.7,6.7,6.2,5.8,4.9,4.3,3.2,1.7
Tom Sanders,86.8,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3,3,2.4,0
Nicolas Batum,85.8,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA
Robert Horry,85.4,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.2,3.6,2.9,2.6,1.7
