Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,DET,NBA,SF,4,NA,159,25,59,0.424,30,44,0.682,NA,NA,63,6,NA,NA,14,80
1967-68,27,DET,NBA,SF,6,NA,263,45,106,0.425,26,45,0.578,NA,NA,97,13,NA,NA,23,116
1968-69,28,NYK,NBA,PF,10,NA,419,61,174,0.351,41,50,0.82,NA,NA,148,33,NA,NA,43,163
1969-70,29,NYK,NBA,PF,19,NA,701,130,309,0.421,45,68,0.662,NA,NA,220,46,NA,NA,63,305
1970-71,30,NYK,NBA,PF,12,NA,488,84,202,0.416,29,44,0.659,NA,NA,156,22,NA,NA,40,197
1971-72,31,NYK,NBA,PF,16,NA,616,109,242,0.45,48,64,0.75,NA,NA,193,37,NA,NA,51,266
1972-73,32,NYK,NBA,PF,17,NA,632,117,265,0.442,31,40,0.775,NA,NA,179,58,NA,NA,57,265
1973-74,33,NYK,NBA,PF,12,NA,404,63,166,0.38,18,29,0.621,25,74,99,38,7,4,36,144
Career,NA,,NBA,,96,NA,3682,634,1523,0.416,268,384,0.698,25,74,1155,253,7,4,327,1536
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,NYK,NBA,,86,NA,3260,564,1358,0.415,212,295,0.719,25,74,995,234,7,4,290,1340
2 seasons,NA,DET,NBA,,10,NA,422,70,165,0.424,56,89,0.629,NA,NA,160,19,NA,NA,37,196
