,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,DET,NBA,,14,,9,,,,,,,,,31
1963-64,23,DET,NBA,,8,,5,8,,,,,,,,19
1964-65,24,DET,NBA,,12,,13,15,,,,,,,,33
1965-66,25,DET,NBA,,19,,11,13,,,,,,,,41
1966-67,26,DET,NBA,,14,,13,20,,,,,,,,32
1967-68,27,DET,NBA,,17,,11,15,,,,,,,,35
1968-69,28,TOT,NBA,,13,,12,13,,,,,,,,38
1968-69,28,DET,NBA,,13,,9,11,,,,,,,,32
1968-69,28,NYK,NBA,,13,,12,13,,,,,,,,38
1969-70,29,NYK,NBA,,14,,9,12,,,,,,,,31
1970-71,30,NYK,NBA,,13,,9,11,,,,,,,,33
1971-72,31,NYK,NBA,,16,,8,10,,,,,,,,35
1972-73,32,NYK,NBA,,13,,7,9,,,,,,,,30
1973-74,33,NYK,NBA,,17,,11,13,,,,,,,,41
Career,,,,,19,,13,,,,,,,,,41
7 Seasons,,DET,NBA,,19,,13,,,,,,,,,41
6 Seasons,,NYK,NBA,,17,,12,13,,,,,,,,41
