Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dave DeBusschere,,7,6.6,6.6,6.6,6.2,5.9,5.2,4.8,4.7,3.7,3.6,0,NA,NA,NA
Thaddeus Young,90.8,7.4,6.9,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1,NA,NA,NA
Antonio Davis,89.5,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2,0.3,NA,NA
Armen Gilliam,87.5,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3,1.2,NA,NA
Derrick McKey,86.8,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,2.1,1.8,1.6,1.6,1.4,0.4
Tom Sanders,86.6,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3,3,2.4,0,-0.2,NA,NA
Amir Johnson,85.9,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,1.1,0.5,0.2,NA
Nicolas Batum,85.8,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA,NA,NA,NA
Maurice Lucas,85.4,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4,3.5,2.5,2.4,2.4,2.3,NA
Antonio McDyess,84.6,9.4,7.8,6.7,6.2,6,5.7,5.6,4.6,4.2,3.6,3.2,3,1.8,1.2,0.8
Bill Bridges,84.5,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6,0.2,NA,NA
