Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1962-63,22,DET,NBA,SF,80,2352,14.5,0.476,0.304,NA,NA,NA,NA,NA,NA,NA,1.3,2.3,3.6,0.074,NA,NA,NA,NA,NA
1963-64,23,DET,NBA,SF,15,304,13.9,0.425,0.323,NA,NA,NA,NA,NA,NA,NA,-0.2,0.2,0,-0.003,NA,NA,NA,NA,NA
1964-65,24,DET,NBA,PF,79,2769,17.4,0.476,0.365,NA,NA,NA,12.8,NA,NA,NA,2.8,3.7,6.6,0.114,NA,NA,NA,NA,NA
1965-66,25,DET,NBA,SF,79,2696,15.7,0.447,0.294,NA,NA,NA,10.9,NA,NA,NA,-0.1,3.7,3.7,0.065,NA,NA,NA,NA,NA
1966-67,26,DET,NBA,SF,78,2897,16.2,0.473,0.401,NA,NA,NA,10.4,NA,NA,NA,1.6,4.3,5.9,0.097,NA,NA,NA,NA,NA
1967-68,27,DET,NBA,SF,80,3125,15,0.483,0.336,NA,NA,NA,7.6,NA,NA,NA,1.8,2.9,4.7,0.072,NA,NA,NA,NA,NA
1968-69,28,TOT,NBA,PF,76,2943,14.4,0.483,0.288,NA,NA,NA,8.8,NA,NA,NA,2.2,3,5.2,0.085,NA,NA,NA,NA,NA
1968-69,28,DET,NBA,PF,29,1092,14.7,0.491,0.307,NA,NA,NA,7.8,NA,NA,NA,1,0.5,1.5,0.064,NA,NA,NA,NA,NA
1968-69,28,NYK,NBA,PF,47,1851,14.3,0.478,0.276,NA,NA,NA,9.4,NA,NA,NA,1.2,2.6,3.8,0.097,NA,NA,NA,NA,NA
1969-70,29,NYK,NBA,PF,79,2627,14.8,0.482,0.237,NA,NA,NA,9.5,NA,NA,NA,0.7,5.8,6.6,0.12,NA,NA,NA,NA,NA
1970-71,30,NYK,NBA,PF,81,2891,15.4,0.458,0.251,NA,NA,14.2,10.3,NA,NA,NA,-0.2,6.4,6.2,0.102,NA,NA,NA,NA,NA
1971-72,31,NYK,NBA,PF,80,3072,15,0.462,0.218,NA,NA,14.4,13.2,NA,NA,NA,-0.2,4.9,4.8,0.075,NA,NA,NA,NA,NA
1972-73,32,NYK,NBA,PF,77,2827,16,0.47,0.212,NA,NA,13.8,12.5,NA,NA,NA,0.9,5.8,6.6,0.113,NA,NA,NA,NA,NA
1973-74,33,NYK,NBA,PF,71,2699,16.3,0.49,0.179,5.2,24.2,14.8,13.9,1.2,0.8,NA,2.4,4.6,7,0.125,NA,0.9,0.7,1.7,2.5
Career,NA,,NBA,,875,31202,15.5,0.472,0.282,5.2,24.2,14.3,11,1.2,0.8,NA,13.1,47.7,60.8,0.093,NA,0.9,0.7,1.7,2.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,DET,NBA,,440,15235,15.7,0.471,0.339,NA,NA,NA,10.1,NA,NA,NA,8.3,17.5,25.8,0.081,NA,NA,NA,NA,NA
6 seasons,NA,NYK,NBA,,435,15967,15.4,0.473,0.225,5.2,24.2,14.3,11.6,1.2,0.8,NA,4.8,30.2,34.9,0.105,NA,0.9,0.7,1.7,2.5
