,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2002-03,21,LOUISVILLE,32,696,126,258,57,134,49,55,,94,67,28,40,,,358,.488,.425,.891,21.8,11.2,2.9,2.1
2003-04,22,LOUISVILLE,28,850,149,345,52,160,110,138,,127,131,52,38,,,460,.432,.325,.797,30.4,16.4,4.5,4.7
2004-05,23,LOUISVILLE,38,1211,187,428,71,194,150,171,,158,148,65,56,,,595,.437,.366,.877,31.9,15.7,4.2,3.9
Career,,,98,2757,462,1031,180,488,309,364,,379,346,145,134,,,1413,.448,.369,.849,28.1,14.4,3.9,3.5
