Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Lester Hudson,,0.2,0.1,0.1,-0.1
Jannero Pargo,51.1,0.2,0.1,0.1,-0.1
Jimmy Oliver,36.8,0.2,0.2,0,-0.1
Awvee Storey,26.1,0.2,0.1,0,NA
Mike Price,22.3,0.2,0.2,0.1,NA
Bob Duffy,15.8,0.3,0.1,0.1,NA
Anthony Roberson,13.8,0.2,0.2,0.1,NA
Randy Woods,7.0,0.3,0.2,0.1,0.1
Jared Cunningham,6.7,0.1,0.1,0,0
Rusty LaRue,4.4,0.3,0.3,0.1,-0.1
Kevin Pritchard,2.8,0.2,0.2,0.2,-0.2
