Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ralph Simpson,,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
Andrew Toney,90.1,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA
Johnny Moore,87.3,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA
Ronnie Brewer,85.8,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA
George Thompson,85.2,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA
Scott Skiles,82.9,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2
CJ McCollum,82.0,7.6,6.6,6,5.6,1.8,0.2,NA,NA,NA,NA
Eric Murdock,81.3,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA
Josh Childress,80.6,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA
Mike Riordan,79.8,11.1,7,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1,NA
George King,79.7,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA,NA
