Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Vonteego Cummings,,1.3,0.6,0.2,NA,NA
Terence Stansbury,86.0,1.5,0.6,0.3,NA,NA
Salim Stoudamire,83.8,1.2,0.8,0.3,NA,NA
Ray McCallum,83.7,1.4,0.4,0.3,NA,NA
Brooks Thompson,82.8,1.1,0.6,0.2,0.1,NA
Jerry Rullo,81.6,1.5,0.6,0,-0.1,NA
Bobby Washington,80.6,1.5,0.7,0,NA,NA
Nick Jones,80.1,1.3,0.7,0.2,0,-0.2
Phil Rollins,77.3,1.1,0.7,0.1,NA,NA
Sean Kilpatrick,75.0,1.4,1,0.1,0.1,NA
Mike Flynn,74.4,1.7,0.8,0.3,NA,NA
