Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ben Davis,,0.1,0.1,0,0
Luke Jackson,76.2,0.1,0.1,0,0
Doug Edwards,23.3,0.2,0.1,0,NA
Jackie Robinson,14.2,0.2,0.1,0,NA
Dennis Bell,13.0,0.1,0,0,NA
Easy Parham,4.5,0.3,0.1,0,NA
Alando Tucker,2.6,0.2,0.1,0,NA
Jacky Dorsey,-3.0,0.2,0.2,-0.1,NA
Scooter McCray,-10.3,0.3,0.1,0,NA
Etdrick Bohannon,-13.3,0.1,0.1,0,-0.1
Jordan Mickey,-14.6,0.3,0.1,0.1,NA
