Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
John Warren,,1.7,0.9,0.8,0.5,0.3
Eddie House,89.4,1.8,0.9,0.7,0.7,0.4
John Wetzel,82.7,2,1.1,0.7,0.5,0.5
Keith Askins,79.5,1.9,1.4,0.7,0.6,0.3
Raul Neto,79.4,1.8,1.1,0.9,0.7,NA
Nik Stauskas,78.4,1.4,1.1,0.5,0.5,0.3
Kevin McKenna,78.3,1.7,0.9,0.7,0.6,-0.3
Howard Komives,77.4,1.5,1.4,1,0.7,0.3
Brook Steppe,75.9,1.3,1.1,1,0.7,0.6
Sergio Rodríguez,75.8,1.7,1.2,0.9,0.7,-0.2
Mo Layton,75.6,1.9,1.1,1,0.3,0.1
