Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
John Warren,,1.7,0.9,0.8,0.5,0.3,NA
Kevin McKenna,83.6,1.7,0.9,0.7,0.6,0.5,-0.3
Raul Neto,79.4,1.8,1.1,0.9,0.7,NA,NA
Nik Stauskas,78.4,1.4,1.1,0.5,0.5,0.3,NA
Chris Carr,77.8,1.7,1.1,0.9,0.3,0.2,-0.3
Brook Steppe,75.9,1.3,1.1,1,0.7,0.6,NA
Sergio Rodríguez,75.8,1.7,1.2,0.9,0.7,-0.2,NA
Mo Layton,75.6,1.9,1.1,1,0.3,0.1,NA
MarShon Brooks,75.3,1.3,0.8,0.7,0.4,0.1,NA
A.J. Price,73.7,2.2,1.2,0.7,0.3,0.3,0
Steve Alford,72.0,1.4,0.9,0.6,0.3,NA,NA
