Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Meyers Leonard,,3,2.8,2.4,2.2,1.4,1.1,0.6
Joe Kleine,92.7,3.1,2.6,2.6,2.3,1.2,1,0.9
Harvey Catchings,89.0,3.1,2.6,2.3,1.7,1.4,1.2,1.1
Jim Barnes,88.9,3.4,2.9,2.4,2.1,2.1,1.1,0.3
Vitaly Potapenko,86.4,3.4,3.1,2.5,2.2,1.5,0.5,0.2
Duane Causwell,85.0,3.9,2.9,2.8,1.8,1.3,1.2,0.7
Sean Rooks,83.5,3,2.2,1.8,1.8,1.5,1.1,0.3
Ian Mahinmi,83.3,3.4,3.3,2.3,2.1,1.8,0.7,0.2
Jake Voskuhl,82.9,3.3,2.7,2.5,1.7,1,0.6,0
Mike Brown,81.6,3.7,3.7,2.4,1.5,1.4,1,0.7
Len Elmore,80.9,3.4,2.2,2.1,2.1,1.6,1.5,0
