Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Meyers Leonard,,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA,NA
Jim Barnes,88.9,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA,NA
Vitaly Potapenko,85.8,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1
Jake Voskuhl,82.4,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3,NA,NA
Francisco Elson,82.0,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0,NA,NA
Michael Doleac,81.6,3,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0,NA
Nat Clifton,81.4,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA,NA
Duane Causwell,79.5,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0
Joel Anthony,79.3,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA
Leon Douglas,79.2,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA,NA
Steven Hunter,77.7,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA,NA,NA
